context,primary_task,secondary_task
"This is an alphabetical list of notable female movie actors with a last name that begins with the letter M. This is an alphabetical list of notable female movie actors with a last name that begins with the letter L. Creature from the Black Lagoon is a pinball machine designed by John Trudeau (""Dr. Flash"") and released by Midway (under the ""Bally"" brand name).  It is loosely based on the movie of the same name.  The game's theme is 1950's drive-in theater.  The pinball machine was licensed from Universal Studios by Bally so that the backglass artwork, the cabinet artwork, and the creature looked like the original movie actors and monsters. This is an alphabetical list of notable female movie actors with a last name that begins with the letter T, U, or V. Armand Anthony Assante Jr. (born October 4, 1949) is an American actor.  He is noted for an Emmy Award-winning role as mobster John Gotti in the 1996 HBO miniseries ""Gotti"". This is an alphabetical list of notable female movie actors with a last name that begins with the letter P or Q. This is an alphabetical list of notable female movie actors with a last name that begins with the letter S. The Hunley is a 1999 television movie directed by John Gray and starring Armand Assante, Donald Sutherland, Alex Jennings, Michael Dolan and Christopher Bauer.  The film is based on the true story of the ""H. L. Hunley"" submarine and the Action of 17 February 1864. This is an alphabetical list of notable female movie actors with a last name that begins with the letter R. This is an alphabetical list of notable female movie actors with a last name that begins with the letter N or O.",Answer the following question based on the context: What was the name of the TV series that one of the Hunley movie actors won an Emmy for?,
"The United Kingdom of Great Britain and Northern Ireland competed as Great Britain at the 1964 Winter Olympics in Innsbruck, Austria.

British luger Kazimierz Kay-Skrzypecki was killed on the Olympic course two weeks before the games.

Medallists

Alpine skiing

Men

Men's slalom

Women

Biathlon

Men

 1 Two minutes added per miss.

Bobsleigh

Nash and Dixon won the race after being loaned an axle bolt by the Italian bobsledder Eugenio Monti, who finished third but would be given the first De Coubertin Medal for sportsmanship.

Cross-country skiing

Men

Men's 4 × 10 km relay

Figure skating

Men

Women

Luge

British luger Kazimierz Kay-Skrzypecki was killed on the Olympic course two weeks before the games.

Men

Speed skating

Men

References
Official Olympic Reports
International Olympic Committee results database
 Olympic Winter Games 1964, full results by sports-reference.com

Nations at the 1964 Winter Olympics
1964 Winter Olympics
Winter Olympics
Winter sports in the United Kingdom","Identify and list all named entities (people, organizations, locations) in the following text.",
"Eragrostis is a large and widespread genus of plants in the grass family, found in many countries on all inhabited continents and many islands. Sagittaria is a genus of about 30 species of aquatic plants whose members go by a variety of common names, including arrowhead, duck potato, katniss, ""Omodaka"" (沢瀉 in Japanese), swamp potato, tule potato, and wapato (or wapatoo).  Most are native to South, Central, and North America, but there are also some from Europe, Africa, and Asia. Sagittaria platyphylla, the delta arrowhead, broad-leaf arrowhead or delta duck-potato, is a plant species native to the eastern United States.  The core of its range extends from central Texas to the Florida Panhandle north to southern Illinois.  Isolated populations have been reported from Washington State, Missouri, Kansas, Ohio, Kentucky, Pennsylvania, West Virginia, eastern Virginia, North and South Carolina and eastern Georgia, Nuevo León, Michoacán and Panamá.  It has also become a noxious weed in Australia.  The plant is an emergent aquatic found in ponds, lakes and slow-moving streams. Eragrostis australasica, commonly known as Swamp Canegrass, is a tussock grass, in the subfamily Chloridoideae of the Poaceae family, that is endemic to Australia.  It is a tufted perennial with strongly branched, cane-like culms, that grows up to 2.4 m in height.  It is typically found on periodically flooded land in arid and semi-arid regions. Eragrostis infecunda , commonly known as Southern Canegrass, is a species of grass, in the subfamily Chloridoideae of the Poaceae family, that is endemic to Australia.  It has erect, wiry culms growing to 70 cm in height It is typically found on cracking clay or alluvial sandy loam soils, on floodplains, watercourses and depressions subject to periodic inundation, as well as the margins of marshes and on levees.","Answer the following question based on the context: Which is found in Australia, Sagittaria or Eragrostis?",
"HNoMS Ellida was a Royal Norwegian Navy corvette first commissioned 16 May 1849. 
Cordt Holtermann Valeur was her first commander. The ship was used as a cadet-ship until 1864 and sold in 1866.

Sources
Norwegian Navy history page

Corvettes of the Royal Norwegian Navy
Ships built in Horten","Analyze the sentiment of the following text and classify it as positive, negative, or neutral.",
"In terms of mixed drinks, shrub is the name of two different, but related, acidulated beverages.  One type of shrub is a fruit liqueur that was popular in 17th and 18th century England, typically made with rum or brandy mixed with sugar and the juice or rinds of citrus fruit. A salty dog is a cocktail of tequila, or gin, and grapefruit juice, served in a highball glass with a salted rim.  The salt is the only difference between a salty dog and a greyhound.  Vodka may be used as a substitute for tequila; nevertheless, it is historically a tequila drink. A greyhound is a cocktail consisting of grapefruit juice and either gin or vodka mixed and served over ice.  If the rim of the glass has been salted, the drink is instead called a salty dog.","Answer the following question based on the context: Which has more gin, Greyhound or Shrub?",
"Richard Vaughan (born 28 July 1971) is a robotics and artificial intelligence researcher at Simon Fraser University in Canada.  Since 2018, Vaughan is on leave from SFU and is working at Apple. He is the founder and director of the SFU Autonomy Laboratory. In 1998, Vaughan demonstrated the first robot to interact with animals and in 2000 co-founded the Player Project, a robot control and simulation system.

References

1971 births
Living people
Canadian roboticists","Identify and list all named entities (people, organizations, locations) in the following text.",
"RTL Radio is a German commercial radio station based in Berlin and the part of the RTL Group. It originated as the German language service of Radio Luxembourg, which began broadcasting after World War II from Luxembourg. It broadcasts adult contemporary music nationally via cable, DAB+ satellite and internet and regionally via FM in Luxembourg, Rheinland-Pfalz, Saarland, eastern German-speaking Belgium, and Lorraine.

History

RTL Radio began broadcasting as the German service of Radio Luxembourg on 15 July 1957. Along with the Saarland-based pirate radio Europe 1, Luxembourg interfered with the non-commercial monopoly imposed by the German states since broadcasting first started in the country. Apart from advertising reaching German radios for the first time, RTL also introduced Germans from both East and West to rock-and-roll, bebop/cool jazz and other types of American popular music which contrasted to the classical repertoire that had dominated mainland services.

In 1990, Radio Luxembourg was renamed RTL Hörfunk. On 1 July 2015 RTL Radio branded itself RTL Radio – Deutschlands Hit-Radio and moved its studios from the City of Luxembourg to Berlin.

RTL Radio has slots on analog and digital cable, and transmits digital signals via the Astra 1L satellites.

External links 
 Homepage of RTL Radio (in German)
 Homepage of RTL Radio for Luxembourg  (in German)
 History of the German service of Radio Luxemburg (in German)

Radio stations in Luxembourg
International broadcasters
Mass media companies of Luxembourg
German-language radio stations
RTL Group
1933 establishments in Luxembourg
Radio stations established in 1933","Analyze the sentiment of the following text and classify it as positive, negative, or neutral.",
"Veronica is the largest genus in the flowering plant family Plantaginaceae, with about 500 species; it was formerly classified in the family Scrophulariaceae.  Common names include speedwell, bird's eye, and gypsyweed. Veronica wormskjoldii is a species of flowering plant in the plantain family known by the common name American alpine speedwell.  It is native to much of northern and western North America, including the western United States and northern Canada, from where it grows in moist alpine habitat, such as mountain forest understory.  It has a wide subarctic distribution from Alaska to Greenland.  This is a rhizomatous perennial herb producing a decumbent to erect, mostly unbranched stem up to 25 to 40 centimeters tall and coated in long hairs.  The oppositely arranged leaves are 2 to 4 centimeters long and lack petioles.  The inflorescence is a hairy, glandular raceme of flowers at the tip of the stem.  Each flower has hairy, lance-shaped sepals and a blue corolla up to a centimeter wide.  The fruit is a capsule around half a centimeter long which contains tiny flattened seeds. Stewartia (sometimes spelled Stuartia) is a genus of 8-20 species of flowering plants in the family Theaceae, related to ""Camellia"".  Most of the species are native to eastern Asia in China, Japan, Korea, Laos, Myanmar, Thailand, and Vietnam, with two (""S. malacodendron, S. ovata"") in southeast North America, from Virginia and Kentucky south to Florida and Louisiana. The Antirrhineae are one of the 12 tribes of the Plantaginaceae family.  It contains the toadflax relatives, such as snapdragons.  They are probably most closely related to the turtlehead tribe (Cheloneae) and/or a large and badly resolved core group of their family including plants as diverse as water-starworts (""Callitriche""), foxgloves (""Digitalis""), and speedwell (""Veronica"").  The Antirrhineae include about 30 genera with roughly 320 species, of which 150 are in genus ""Linaria"".  The type genus is ""Antirrhinum"" .","Answer the following question based on the context: Which contains more species, Stewartia or Veronica?",
"The mylohyoid line is a bony ridge on the internal surface of the mandible. It runs posterosuperiorly. It is the site of origin of the mylohyoid muscle, the superior pharyngeal constrictor muscle, and the pterygomandibular raphe.

Structure 
The mylohyoid line is a bony ridge on the internal surface of the body of the mandible. The mylohyoid line extends posterosuperiorly. The mylohyoid line continues as the mylohyoid groove on the internal surface of the ramus. 

The mylohyoid muscle originates from the anterior (front) part of the mylohyoid line. Rarely, the mylohyoid muscle may originate partially from other surfaces of the mandible. The posterior (back) part of this line, near the alveolar margin, gives attachment to a small part of the superior pharyngeal constrictor muscle, and to the pterygomandibular raphe.

Function 
The mylohyoid line is the site of attachment of many muscles, including the mylohyoid muscle, and the superior pharyngeal constrictor muscle. It is also the site of attachment of the pterygomandibular raphe.

Additional images

References

External links 
  - ""Anterior Triangle of the Neck: Bones""
 

Bones of the head and neck",Extract the key facts and details from the following text.,
"Acton-Boxborough Regional High School (ABRHS) is an open-enrollment high school in Acton, Massachusetts, United States. A part of the Acton-Boxborough Regional School District, it serves the Massachusetts towns of Acton and Boxborough and has students in grades 9 through 12. It is situated downhill from the Raymond J. Grey Junior High School, at 36 Charter Road in Acton. Raymond J. Grey Junior High School occupies the facility that, until 1973, was the high school

In 1999 multiple fires were set at ABRHS. The first fire began near the gymnasium but was quickly extinguished. The second fire, a five-alarm blaze in the school auditorium, seriously damaged the auditorium and forced the evacuation of all 1,300 students and canceled school the following day. No students or staff were injured, but one firefighters was hospitalized after suffering from smoke inhalation. ABRHS underwent a $40 million renovation and expansion in 2005.

Notable alumni

Seth Abramson, poet
Tom Barrasso, Hall of Fame NHL goalie, 2x Stanley Cup Champion, 2002 Winter Olympics Silver medalist
Bob Brooke, NHL player
Jamie Eldridge, MA Senator
Steve Hathaway, MLB pitcher
Drew Houston, founder of Dropbox
Maria Konnikova, writer, professional poker player, and journalist
Shin Lim, magician, America's Got Talent Season 13 and America's Got Talent: The Champions winner
Bill Morrissey, Grammy-nominated American folk singer-songwriter
Jeff Norton, NHL hockey player
Caroll Spinney, Sesame Street puppeteer who performed Big Bird
Evelyn Stevens, cyclist
Bob Sweeney, Retired NHL player, President of Boston Bruins Foundation
Jessamyn West, librarian

References

External links

ABRHS Homepage

Public high schools in Massachusetts
High schools in Middlesex County, Massachusetts
Buildings and structures in Acton, Massachusetts
School buildings completed in 1973
1973 establishments in Massachusetts",Extract the key facts and details from the following text.,
"""The Plausible Impossible"" is an episode of the Disneyland television program, originally broadcast on October 31, 1956.

Walt Disney explains how drawings and animation make things that are impossible seem plausible, as evidenced in ancient history (i.e., Egyptian gods, dragons, and various creatures from Greek mythology) and various cartoons with Mickey Mouse and Donald Duck. This episode also includes an unfinished form of one scene from Snow White and the Seven Dwarfs (1937) that ultimately ended up on the cutting room floor and was not used in the final film. This episode culminates with the ""Night on Bald Mountain"" segment of Fantasia (1940). 

The episode features the cartoons Donald's Cousin Gus and Thru the Mirror.

Home media
The short was released on December 3, 2002, on Walt Disney Treasures: Behind the Scenes at the Walt Disney Studio.

References

External links
 
 

Walt Disney anthology television series episodes
1956 American television episodes
History of animation",Continue or complete the following text in a coherent manner.,
"Bearing(s) may refer to:

 Bearing (angle), a term for direction
 Bearing (mechanical), a component that separates moving parts and takes a load
 Bridge bearing, a component separating a bridge pier and deck
 Bearing BTS Station in Bangkok
 Bearings (album), by Ronnie Montrose in 2000

See also
 Posture (disambiguation)
 Bering (disambiguation)
 Baring (disambiguation)",Continue or complete the following text in a coherent manner.,
"Baesweiler () is a municipality in the district of Aachen, North Rhine-Westphalia, Germany.

Geography 
Baesweiler is located approximately 20 km north-east of Aachen.

Neighbouring municipalities
 Geilenkirchen
 Linnich
 Aldenhoven
 Alsdorf
 Herzogenrath
 Übach-Palenberg

Division of the municipality 

The municipality has seven subdivisions since a local government reform in 1972 (populations as of January 2007):
 Baesweiler (13,864 inhabitants)
 Beggendorf (1,667 inhabitants)
 Floverich (408 inhabitants)
 Loverich (1,255 inhabitants)
 Oidtweiler (2,731 inhabitants)
 Puffendorf (441 inhabitants)
 Setterich (7,794 inhabitants)

History 
In 1371 a battle took place between the armies of Wenceslaus I, duke of Brabant on one hand, and Gulik and Gelre on the other. Wenceslaus, upon his capture, suffered a humiliating defeat.

Population development
 1950: 13.268
 1970: 24.223
 1998: 26.731
 2000: 27.434
 2002: 27.604
 2004: 27.933
 2006: 28.160
 2008: 27.991
 2010: 27.898
 2012: 26.445
 2014: 26.597
 2015: 26.819

Twin towns – sister cities

Baesweiler is twinned with:
 Montesson, France (1990)

Notable people
Matthias Goebbels (1836–1911), priest and artist
Franz Loogen (1919–2010), pioneer of cardiology in Germany
Ralph Gunesch (born 1983), footballer

References

External links 

 Official site 

Towns in North Rhine-Westphalia
Aachen (district)",Extract the key facts and details from the following text.,
"Angel of Mercy may refer to:

Books
 Angel of Mercy, novel by Andrew Neiderman
 Angel of Mercy, novel by Lurlene McDaniel

Film and TV
 The Angel of Mercy (film), a 1946 film by Youssef Wahbi
 Angel of Mercy (1993 film) by Miloslav Luther
 ""Angel of Mercy"", an episode of The Bionic Woman TV series, 1976
Angel of Mercy (1939 film) directed by Edward L. Cahn

Songs
 ""Angel of Mercy"", a song by Maurice Gibb and his daughter, Samantha Gibb, released in 2010 on the Bee Gees box set Mythology 
 ""Angel of Mercy"", a song by Black Label Society from the album Catacombs of the Black Vatican
 ""Angel of Mercy"", a song by the heavy metal band Chastain from the album Ruler of the Wasteland
 ""Angel of Mercy"", a song from the album Communiqué by Dire Straits 
 ""Angel of Mercy"", a song from the album A Different Kind of Weather by The Dream Academy 
 ""Angel of Mercy"", cover of the Chastain song from the album Crimson Thunder by HammerFall 
 ""Angel of Mercy"", a blues song by Homer Banks and Raymond Jackson, on the album I'll Play the Blues for You by Albert King
 ""Angel of Mercy"", a song from the album Rogues en Vogue by Running Wild
 ""Angel of Mercy"", a song by Al Stewart from the album Famous Last Words
 ""Angel of Mercy"", a song from the album Junction Seven by Steve Winwood

Other uses
 Angel of mercy (criminology)
 Abdul Sattar Edhi, founder of the Edhi Foundation
 Angel of Mercy, in the Islamic, Jewish and Christian traditions, a messenger from God, especially the archangel Michael
 Angel of mercy, affectionate nickname for a nurse
 Merciful Angel, code name used during the NATO bombing of Yugoslavia",Summarize the following text in 2-3 sentences.,
"Syzygium guineense (Bambara: ""Kokisa"" ) is a leafy forest tree of the Myrtaceae family, found in many parts of Africa both wild and domesticated.  Both its fruits and leaves are edible; the pulp and the fruit skin are sucked and the seed discarded.  It is sometimes called ""waterberry"", but this may also refer to other species of ""Syzygium"". Syzygium is a genus of flowering plants that belongs to the myrtle family, Myrtaceae.  The genus comprises about 1200–1800 species, and has a native range that extends from Africa and Madagascar through southern Asia east through the Pacific.  Its highest levels of diversity occur from Malaysia to northeastern Australia, where many species are very poorly known and many more have not been described taxonomically. Cyanotis (syn.  ""Tonningia"") is a genus of mainly perennial plants in the family Commelinaceae, first described in 1825.  It is native to Africa, southern Asia, and northern Australia.",Answer the following question based on the context: Are the genuses Cyanotis and Syzygium both found in Africa?,
"Longdu () is a town of Chenghai District, in the northern suburbs of Shantou, in eastern Guangdong province, China.  , It has 1 residential community (社区) and 14 villages under its administration, and a hukou population of 74,000 living in an area of 34 km2 . North Sichuan Medical University (), previously North Sichuan Medical College (NSMC), is a provincial medical school with campuses located in Shunqing District and Gaoping District, Nanchong city, Sichuan Province, China. Jinsha () is a subdistrict of the Jinping District, Shantou City, Guangdong Province, China. Lim Nee Soon (; 12 November 1879 – 20 March 1936) was a Singaporean merchant who promoted social and community matters, and was a respected community leader in Singapore.  Lim was of Chinese Peranakan descent, with ancestry from Chenghai District, Shantou in Guangdong, China. Gaoping () is a county-level city in Shanxi Province, China with a history stretching back to the Warring States period (403–221 BCE).  Part of the city was formerly known as Changping where a noted battle took place in 260 BCE between forces from the rival States of Qin and Zhao. Chenghai (; Pinyin: ""Chénghǎi""; postal: Tenghai; Teochew: Thěng Hài) is a district of the city of Shantou, Guangdong Province, China. Shantou Experimental School (汕头市 实验 学校 Shàn-tóu-shì shí-yàn xué-xiào) is a public school, located in Longhu District, within the city proper of Shantou, Guangdong, China. Feixia Middle School is a public middle school in Jinping District, Shantou city, Guangdong province, China found in 1982.  It's a highest school of province level, and the acknowledged best secondary school in Shantou.  Many of there graduate students go to Jingshan High School, but few of them will get chance to study in Temasek Secondary School in Singapore.","Answer the following question based on the context: What  is a district of the city of Shantou, Chenghai District or Gaoping?",
"Hafizur Rahman (born September 21, 1959) is a former Bangladeshi cricketer who played in two One Day Internationals in 1986. A wicket-keeper, Hafizur Rahman moved to the U.S. after retiring from international cricket.

In 1984, Hafiz played for the Bangladesh Tigers at the inaugural South East Asian Cricket Cup in Bangladesh. He scored 75 against Singapore. There, he put on 208 runs with Rafiqul Alam who scored 129.

Over the next two years, Hafiz toured Kenya, Pakistan and SL, and played against Sri Lanka (1985) and Omar Quareshi XI (Pakistan) (1986). In March, 1986, he took 6 catches in a limited over game against the Lahore Cricket Association. But later in 1986, he lost his place to Nasir Ahmed.

References

1959 births
Bangladesh One Day International cricketers
Bangladeshi cricketers
Living people
Wicket-keepers
Place of birth missing (living people)",Categorize the following text into the most appropriate topic or genre.,
"A weekend warrior is someone who engages in sports or outdoor pursuits at the weekend.

Weekend warrior may also refer to:

Music
Weekend Warrior (album), an album by Biz Markie in 2003
Weekend Warriors (album), an album by Ted Nugent in 1978
""Weekend Warrior"", a song by Iron Maiden from Fear of the Dark in 1992
""Weekend Warrior"", a song by Ministry from Relapse in 2012
""Weekend Warriors"", a song by Uriah Heep from Head First in 1983
""Weekend Warriors"", a song by A Change Of Pace from Prepare the Masses in 2006

Other media
Weekend Warrior, a computer game developed by Pangea Software
Weekend Warriors (film), a 1986 comedy
""Weekend Warriors"", an episode of the TV series Psych
Weekend Warriors, a program broadcase by HGTV Canada
Weekend Warriors MMA, a mobile game developed by MDickie

Other uses
A nickname for the visitors of the Defqon.1 Festival

See also",Read the following text and determine if the claims made are factually accurate based on the context provided.,
"Miranda is an electoral district of the Legislative Assembly in the Australian state of New South Wales. It is represented by Eleni Petinos of the Liberal Party.

Miranda  is located in the north of Sutherland Shire on the south shore of Georges River. It includes the suburbs of Alfords Point, Bonnet Bay, Como, Gymea, Illawong, Jannali, Kangaroo Point, Kareela, Kirrawee, Miranda, Oyster Bay, Sylvania, Sylvania Waters, Taren Point and parts of Caringbah and Sutherland.

History

Created in 1971, Miranda had traditionally been a  electorate, being won by  only at landslide elections, two under Neville Wran in 1978 and 1981, and again under Bob Carr in 1999 and 2003. According to ABC psephologist Antony Green, the seat should have been recovered by the Liberals in 2007 but was narrowly retained by Labor. On a margin of 0.8 percent it was the Labor government's most marginal seat. In 2011 the Liberals won government in a landslide, and the seat of Miranda on a very safe 21.0 percent margin, with 39 seats held by the Coalition on smaller margins.

The seat was made vacant following the resignation of Liberal MP Graham Annesley. The 2013 Miranda by-election was conducted on 19 October, Labor's Barry Collier won the seat with a two-party swing of 26 percent in the largest by-election swing in the state's history. He did not stand for re-election at the 2015 NSW State election and the seat was subsequently won by the Liberal Party's Eleni Petinos.

Members for Miranda

Election results

References

Miranda
1971 establishments in Australia
Miranda",Provide a detailed analysis and understanding of the following text.,
"The Running Horse is a pub in the town of Leatherhead, Surrey, England. It is Grade II* listed.

Dating back to 1403, on the bank of the River Mole, the Running Horse is located in one of the oldest buildings in Leatherhead.

History
Built in the 15th century on land belonging to the church, The Running Horse was originally known as Rummings House, after Eleynor Rumminge who was written about by Henry VIII's poet John Skelton. The poem can be found on a wall in the pub.

References

External links
 http://www.running-horse.co.uk/

Pubs in Surrey
Grade II* listed pubs in England
Grade II* listed buildings in Surrey
Leatherhead",Read the following text and determine if the claims made are factually accurate based on the context provided.,
"The Federalist Christian Democracy-Convention of Federalists for Christian Democracy () is a political party in the Democratic Republic of the Congo.

Pierre Pay-Pay wa Syakasighe, the party's presidential candidate in the 2006 general election came seventh with 1.5% of the vote, and the party gained 8 seats in the National Assembly.
On 19 January 2007 Senate elections, the party won out 1 of 108 seats.

Christian democratic parties in Africa
Federalism in the Democratic Republic of the Congo
Federalist parties
Political parties in the Democratic Republic of the Congo
Political parties with year of establishment missing",Categorize the following text into the most appropriate topic or genre.,
"Manulife Place is a highrise office building and shopping mall in Edmonton, Alberta, Canada. It was completed in 1983 and designed by Clifford Lawrie Bolton Ritchie Architects. It is located at the corner of 102 Avenue and 101 Street in downtown Edmonton. Naming rights of the complex are held by insurer Manulife.

The building has a two level shopping concourse. Manulife Place is connected by the Edmonton Pedway to Edmonton City Centre and Commerce Place.

At  tall, with 36 floors, it was the tallest building in Edmonton from 1983 until 2011. In 2011, it was overtaken by Epcor Tower at .

History of the site
The location of Manulife Place was formerly the home of the King Edward Hotel which stood on the site from 1904 to 1980, before being destroyed by fire.

Manulife Place was constructed by the local general contractor PCL Construction, with another local contractor, C. W. Carry manufacturing and erecting the structural steel.

Luxury department chain Holt Renfrew had a 30,000 square foot store at Manulife Place from 1982 until January 11, 2020, as the Louis Vuitton concession inside the store had departed for West Edmonton Mall, and as the Holt Renfrew chain decided to focus on larger stores with 130,000 square feet or more.

See also
List of tallest buildings in Edmonton
List of Edmonton malls

References

External links

Buildings and structures completed in 1983
Buildings and structures in Edmonton
Skyscraper office buildings in Edmonton
Shopping malls in Edmonton
Tourist attractions in Edmonton
1983 establishments in Alberta",Summarize the following text in 2-3 sentences.,
"Agbrigg and Morley was a wapentake of the West Riding of Yorkshire, England. The main purpose of the wapentake was the administration of justice by a local court. At the time of the Domesday survey in 1086, Agbrigg and Morley were separate wapentakes. For example, Methley was in Agbrigg while Rothwell was in Morley. The wapentakes were probably combined by the 13th century when similar administrative reforms occurred elsewhere in England. It was kept in two divisions, which in the mid-nineteenth century again became wapentakes in their own right.

The Agbrigg Division included the parishes of Almondbury, Emley, Kirkburton, Kirkheaton, Normanton, Rothwell, Sandal Magna, Thornhill, Wakefield and Warmfield with Heath and parts of Batley, Dewsbury, Featherstone, Huddersfield and Rochdale.  The Morley Division included Birstall, Bradford, Calverley and parts of Batley, Huddersfield and Dewsbury.

References

Wapentakes of the West Riding of Yorkshire","Identify and list all named entities (people, organizations, locations) in the following text.",
"Reken is a municipality in the district of Borken, in North Rhine-Westphalia, Germany. It is located approximately 15 km east of Borken.

Sister Mary Prema hails from this municipality.

References

Borken (district)","Identify and list all named entities (people, organizations, locations) in the following text.",
"Albert III may refer to:

Albert III, Count of Namur (1048–1102)
Albert III, Count of Habsburg (died 1199)
Albert III, Margrave of Brandenburg-Salzwedel (–1300)
Albert III, Duke of Saxe-Lauenburg (1281–1308)
Albert III, Prince of Anhalt-Zerbst (died 1359)
Albert III, Count of Gorizia (died 1374)
Albert III, Duke of Austria (1349–1395)
Albert III, Duke of Saxe-Wittenberg (1375/1380–1422)
Albrecht III Achilles, Elector of Brandenburg (1414–1486)
Albert III, Duke of Bavaria (1438–1460)
Albert III, Duke of Saxony (1443–1500)",Rephrase the following text while preserving its original meaning.,
"Cynara is a genus of thistle-like perennial plants in the sunflower family.  They are native to the Mediterranean region, the Middle East, northwestern Africa, and the Canary Islands.  The genus name comes from the Greek ""kynara"", which means ""artichoke"". Piptanthus is a genus of flowering plants in the legume family, Fabaceae, and the subfamily Faboideae. The Cynareae are a tribe of flowering plants in the daisy family (Asteraceae) and the subfamily Carduoideae.  Most of them are commonly known as thistles; four of the best known genera are ""Carduus"", ""Cynara"" (containing the widely eaten artichoke), ""Cirsium"", and ""Onopordum"".",Answer the following question based on the context: Are Cynara and Piptanthus both flowering plants?,
"The Dagliç is a breed of sheep found primarily in western Anatolia in Turkey. They are a carpet wool breed used for both meat and dairy production. Sheep of this breed typically have black spots on the head and legs. 
The rams are usually horned and the ewes are polled. The breed is thought by some to be the origin of the Chios and Kamakuyruk breeds.

Characteristics
This breed of sheep has been adapted to live in steppe climate.  They are unicolored with a white body and black spots on head and legs.  Dagliç sheep have a short-fat tail.  Live birth is 80 - 90% and twinning is rare (1 - 2%).  Average weight gain is approximately  per day.  At maturity, ewes grow to approximately  at the withers and weigh .  Lactation yields about  of milk and lasts for about 140 – 179 days.

References

Sheep breeds
Sheep breeds originating in Turkey",Summarize the following text in 2-3 sentences.,
"Bessera is a genus of Mexican plants in the cluster lily subfamily within the asparagus family.  It is a small genus of 3 known species of mostly herbaceous flowering plants with corms.  They have flowers with petals and petaloid sepals (tepals) with compound pistils. Sesleria is a Eurasian and North African genus of perennial plants in the grass family. Sesleria caerulea, known as blue moor-grass, is a species of perennial grass in the Poaceae family, native to Europe. Sesleria insularis is a species of perennial grass in the Poaceae family, with culms 30–65 cm long. Sesleria albicans is a species of perennial grass in the Poaceae family which can be found throughout Europe. Sesleria heufleriana is a species of perennial grass in the Poaceae family, native to central, southeastern, and eastern Europe and the Caucasus.  Culms are erect, ranging from 30–70 cm long; leaf-blades are conduplicate or convolute, and 20–35 cm long by 2–3 mm wide. Sesleria argentea is a species of perennial grass in the Poaceae family.  It is 35 – long with a 0.5 – long ciliolate membrane.  Its leaves are either conduplicate or convolute, and are 10 – long and 3 – wide.  It also has a linear panicle spiciform which is 3.5 – long and 0.5 – wide.",Answer the following question based on the context: Both Bessera and Sesleria are?,
"The Little Niangua River is a  tributary of the Niangua River in the Ozarks region of central Missouri in the United States.  Via the Niangua, Osage and Missouri rivers, it is part of the watershed of the Mississippi River. The Little Niangua was so named for its smaller size relative to the Niangua River.

Description
The Little Niangua rises in Dallas County and flows generally northeasterly through Hickory and Camden counties.  It joins the Niangua River in Camden County as an arm of the Lake of the Ozarks, which is formed by a dam on the Osage River.

Niangua darter
The upper reaches of the Little Niangua River, including the tributaries of Cahoochie Creek and Thomas Creek in Dallas County, are known habitats of the Niangua darter, a small fish that is on the U.S. Fish and Wildlife Service's list of Endangered Species.

Public areas
There are multiple river accesses on the Little Niangua River, including Bannister Hollow, Fiery Fork and most areas where a road crosses the river.

See also
 List of Missouri rivers
 Little Niangua Suspension Bridge

References

 Columbia Gazetteer of North America entry
 DeLorme (2002).  Missouri Atlas & Gazetteer.  Yarmouth, Maine: DeLorme.  .
 U.S. Fish and Wildlife Service entry for the Niangua Darter

Rivers of Missouri
Rivers of Camden County, Missouri
Rivers of Dallas County, Missouri
Rivers of Hickory County, Missouri
Tributaries of the Missouri River",Categorize the following text into the most appropriate topic or genre.,
"Childish describes something suitable for a child, or something (particularly behavior) that is immature. It may also refer to:

 Billy Childish (born 1959), English artist, writer, and musician
 Childish Gambino (born 1983), American actor, writer, comedian, director, and musician
 Childish Major (born 1991), American rapper and record producer

See also
 Minor (law)","Identify and list all named entities (people, organizations, locations) in the following text.",
"Fred McLeod Wilcox (December 22, 1907 – September 23, 1964) was an American motion picture director. He worked for Metro-Goldwyn-Mayer for many years  and is best remembered for directing Lassie Come Home (1943) and Forbidden Planet (1956). These films were entered in the National Film Preservation Board's National Film Registry in 1993 and 2013 respectively.

Filmography

 Joaquin Murrieta (1938)
 Lassie Come Home (1943)
 Courage of Lassie (1946)
 Three Daring Daughters (1948)
 Hills of Home (1948)
 The Secret Garden (1949)
 Shadow in the Sky (1952)
 Code Two (1953)
 Tennessee Champ (1954)
 Forbidden Planet (1956)
 I Passed for White (1960)

External links

1907 births
1964 deaths
People from Tazewell, Virginia
Film directors from Virginia
Science fiction film directors","Identify and list all named entities (people, organizations, locations) in the following text.",
